,Row.names,region,code,lat,long,Water.T,pH,Cond,Turb,Chl,Secchi,Alkalinity,Ca,Mg,K,Na,Si,Cl,NO2,NO3,SO4,PO4,TN,TP,DO..,DO,Carbonate,Silicate,DOC,Waterdepth,MaxDepth,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Slope_100,Wshd_area,Elevation,area_sub.Basin,area_waterbody,MAT,P.season,MAP,T.season,Connectivity,X..aquatic.habitat,Ecoregion,Freshwater.ecoregion,TRI,tri1,lanfdorm,geology,land.cover,HFP2009,Bare.Desert,Barren.Tundra,Cold.Grassland,Cool.Grasses.and.Shrubs,Cool.Southern.Hemisphere.Mixed.Forests,Corn.and.Beans.Cropland,Crops.and.Town,Crops..Grass..Shrubs,Dry.Woody.Scrub,Evergreen.Broadleaf.Forests,Evergreen.Forest.and.Fields,Fields.and.Woody.Savanna,Forest.and.Field,Glacier.Ice,Grass.Crops,Hot.and.Mild.Grasses.and.Shrubs,Inland.Water,Low.Sparse.Grassland,Montane.Tropical.Forests,Rice.Paddy.and.Field,Savanna..Woods.,Sea.Water,Seasonal.Tropical.Forest,Semi.Desert.Shrubs,Shrub.Deciduous,Shrub.Evergreen,Southern.Hemisphere.Mixed.Forest,Succulent.and.Thorn.Scrub,Tropical.Degraded.Forest,Tropical.Rainforest,Upland.Tundra,Urban,Wooded.Wet.Swamp,Woody.Savanna,Barren,Grassland.and.shrubs,Forests,Savanna,Rainforest,Wetland,Agriculture,Crops.and.town,Urban.1,Inland.water,lake_depth_ratio,lake_catch_ratio,catch_vol_ratio
40,Clm-A-C_Belmir-1,Colombia-Andes,Clm-A-C_Belmir-1,6.62,-75.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2930,70.1,0.177724004,119,38,3009,315,0.004,4.413292609,Magdalena Valley montane forests,302,18,0.531808,3,4,Woody Savanna,8.852498055,0,0,0.96,0,0,0,3.45,2.56,0,0,26.44,7.07,0,0,0,0,5.03,0,6.77,0.71,13.8,0,0,0.02,0,0,0,0,0.63,16.21,0,0,0,16.45,0,3.54,33.84,37.32,16.21,0,0.71,3.45,0,5.03,NA,NA,NA
41,Clm-A-C_Belmir-2,Colombia-Andes,Clm-A-C_Belmir-2,6.62,-75.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2930,70.1,0.177724004,119,38,3009,315,0.004,4.413292609,Magdalena Valley montane forests,302,18,0.531808,3,4,Woody Savanna,8.852498055,0,0,0.96,0,0,0,3.45,2.56,0,0,26.44,7.07,0,0,0,0,5.03,0,6.77,0.71,13.8,0,0,0.02,0,0,0,0,0.63,16.21,0,0,0,16.45,0,3.54,33.84,37.32,16.21,0,0.71,3.45,0,5.03,NA,NA,NA
42,Clm-A-C_Belmir-3,Colombia-Andes,Clm-A-C_Belmir-3,6.62,-75.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2930,70.1,0.177724004,119,38,3009,315,0.004,4.413292609,Magdalena Valley montane forests,302,18,0.531808,2,4,Woody Savanna,8.852498055,0,0,0.96,0,0,0,3.45,2.56,0,0,26.44,7.07,0,0,0,0,5.03,0,6.77,0.71,13.8,0,0,0.02,0,0,0,0,0.63,16.21,0,0,0,16.45,0,3.54,33.84,37.32,16.21,0,0.71,3.45,0,5.03,NA,NA,NA
43,Clm-A-C_Guarne-1,Colombia-Andes,Clm-A-C_Guarne-1,6.27,-75.52,19,6.08,26,NA,NA,NA,36,0.02,2.16,0.525,0.465,NA,2.22,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2551,124,0.0116577,153,36,1831,340,8.00E-04,0.04706329,Magdalena Valley montane forests,302,3,0.73463,2,4,Tropical Rainforest,31.3394661,0,0,2.53,0,0,0,23.71,0.56,0,0,15.23,1.46,0,0,0,0.4,0.49,0,0,1.08,3.78,0,0,0,0,0,0,0,0,41.62,0.08,3.75,0,5.32,0,3.57,15.23,10.56,41.62,0,1.08,23.71,3.75,0.49,NA,NA,NA
44,Clm-A-C_Guarne-2,Colombia-Andes,Clm-A-C_Guarne-2,6.27,-75.52,19,6.08,26,NA,NA,NA,36,0.02,2.16,0.525,0.465,NA,2.22,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2551,124,0.0116577,153,36,1831,340,8.00E-04,0.04706329,Magdalena Valley montane forests,302,3,0.73463,2,4,Tropical Rainforest,31.3394661,0,0,2.53,0,0,0,23.71,0.56,0,0,15.23,1.46,0,0,0,0.4,0.49,0,0,1.08,3.78,0,0,0,0,0,0,0,0,41.62,0.08,3.75,0,5.32,0,3.57,15.23,10.56,41.62,0,1.08,23.71,3.75,0.49,NA,NA,NA
45,Clm-A-E_Cucunb-1,Colombia-Andes,Clm-A-E_Cucunb-1,5.28,-73.78,17.8,6.6,1100,NA,NA,NA,65.77,43.6,17,16.3,77.2,NA,62,0.34,0.002,26.9,0.31,11.6,0.34,NA,2.7,NA,NA,NA,NA,NA,0.88,4.11,1.24,1.79,NA,3,2,2.73,7.6,0.51,181.1,2541,124.8,2.634560108,147,45,752,403,0.0036,1.735733146,Magdalena Valley montane forests,302,0.125,0.0564683,3,4,Crops and Town,13.3394661,0,0,7.08,0,0,0,22.67,18.03,0,0,4.16,0,0,0,0,0.83,0.57,0,17.06,0,12.43,0,0,10.91,0.08,0,0,0,1.43,3.71,0.05,0,0,1.05,0,36.98,22.65,13.48,3.71,0,0,22.67,0,0.57,0.44,0.004859194,101.1731844
46,Clm-A-E_Cucunb-2,Colombia-Andes,Clm-A-E_Cucunb-2,5.28,-73.78,17.8,6.6,1100,NA,NA,NA,65.77,43.6,17,16.3,77.2,NA,62,0.34,0.002,26.9,0.31,11.6,0.34,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2568,124.8,2.634560108,147,44,740,396,0.0036,1.735733146,Magdalena Valley montane forests,302,27.75,0.173966,3,1,Crops and Town,11.68148518,0,0,6.54,0,0,0,22.63,18.94,0,0,3.94,0,0,0,0,0.91,0.57,0,17.53,0,11.72,0,0,10.97,0.08,0,0,0,1.43,3.71,0.05,0,0,1.05,0,37.49,22.9,12.77,3.71,0,0,22.63,0,0.57,NA,NA,NA
47,Clm-A-E_Fuquen-1,Colombia-Andes,Clm-A-E_Fuquen-1,5.466,-73.752,17.7,6.9,177,NA,NA,NA,26.9,8.82,4.75,1.98,68.9,NA,15.6,0.002,0.8,63,0.02,2,0.1,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2540,27.8,27.58539963,146,50,1000,347,0.0036,1.735733146,Magdalena Valley montane forests,302,1,0.444444,3,1,Cold Grassland,7.526984215,0,0,7.48,0,0,0,16.25,9.46,0,0,9.51,0.84,0,0,0,0.36,0.07,0,15.48,0.97,19.63,0,0,3.31,0.08,0.12,0,0,1.43,9.74,4.34,0,0,1.09,0,25.15,26.42,21.56,9.74,0,0.97,16.25,0,0.07,NA,NA,NA
48,Clm-A-E_Fuquen-2,Colombia-Andes,Clm-A-E_Fuquen-2,5.466,-73.752,17.7,6.9,177,NA,NA,NA,26.9,8.82,4.75,1.98,68.9,NA,15.6,0.002,0.8,NA,0.02,2,0.1,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2540,27.8,27.58539963,146,50,1000,347,0.0036,1.735733146,Magdalena Valley montane forests,302,1,0.444444,3,1,Cold Grassland,7.526984215,0,0,7.48,0,0,0,16.25,9.46,0,0,9.51,0.84,0,0,0,0.36,0.07,0,15.48,0.97,19.63,0,0,3.31,0.08,0.12,0,0,1.43,9.74,4.34,0,0,1.09,0,25.15,26.42,21.56,9.74,0,0.97,16.25,0,0.07,NA,NA,NA
49,Clm-A-E_Fuquen-3,Colombia-Andes,Clm-A-E_Fuquen-3,5.466,-73.752,17.7,6.9,177,NA,NA,NA,26.9,8.82,4.75,1.98,68.9,NA,15.6,0.002,0.8,NA,0.02,2,0.1,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2540,27.8,27.58539963,146,50,1000,347,0.0036,1.735733146,Magdalena Valley montane forests,302,1,0.444444,3,7,Cold Grassland,7.526984215,0,0,7.48,0,0,0,16.25,9.46,0,0,9.51,0.84,0,0,0,0.36,0.07,0,15.48,0.97,19.63,0,0,3.31,0.08,0.12,0,0,1.43,9.74,4.34,0,0,1.09,0,25.15,26.42,21.56,9.74,0,0.97,16.25,0,0.07,NA,NA,NA
